regno,name,path,TeamName,ProblemStatement
,Comadon,JOVEO HACKATHON.zip,Comadon,Joveo
,SortingHat,MegathonSortingHatFinal.zip,SortingHat,Joveo
,Illuminati,Megathon18_Joveo_BotClick_Illuminati.zip,Illuminati,Joveo
,Sadhana,sadhana-presentation.pdf,Sadhana,Joveo
,DoesntMatter,Team-DoesntMatter.zip,DoesntMatter,Joveo
,Qbits,Subm_Qubits.zip,Qbits,Joveo
,Incompetent,Incompetent_repo.zip,Incompetent,Joveo
,Qudrateen,voice-bot.cs,Qudrateen,Joveo
,Captivators,Captivators.pptx,Captivators,Joveo
,BitRebels,MEGATHON 18.pptx,BitRebels,Joveo
,The Syndicate,Providentia.zip,The Syndicate,Joveo
,RemixBot,ReMixBot.zip,RemixBot,Joveo
,LITe,TeamLITeDemocratizingRecruiting.zip,LITe,Joveo
,Technocrats,Megathon_Technocrats.zip,Technocrats,Joveo
,Gladiators,AI.tar.gz,Gladiators,Joveo
,Zena,important_links.txt,Zena,Joveo
